Date,Close
1/2/2019,39.08
1/3/2019,36.52
1/4/2019,38.14
1/7/2019,39.16
1/8/2019,39.14
1/9/2019,40.14
1/10/2019,40.6
1/11/2019,40.67
1/14/2019,40.12
1/15/2019,39.65
1/16/2019,39.72
1/17/2019,38.73
1/18/2019,40.23
1/22/2019,38.48
1/23/2019,38.76
1/24/2019,40.97
1/25/2019,43.66
1/28/2019,43.26
1/29/2019,42.77
1/30/2019,43.74
1/31/2019,44.28
2/1/2019,45.26
2/4/2019,45.56
2/5/2019,45.14
2/6/2019,45.23
2/7/2019,44.46
2/8/2019,45.02
2/11/2019,44.65
2/12/2019,45.39
2/13/2019,45.74
2/14/2019,45.77
2/15/2019,45.71
2/19/2019,45.89
2/20/2019,45.89
2/21/2019,45.11
2/22/2019,47.01
2/25/2019,48.05
2/26/2019,47.48
2/27/2019,46.82
2/28/2019,46.56
3/1/2019,46.35
3/4/2019,46.42
3/5/2019,46.29
3/6/2019,46.26
3/7/2019,45.19
3/8/2019,46.22
3/11/2019,48.63
3/12/2019,48.08
3/13/2019,47.68
3/14/2019,47.19
3/15/2019,47.68
3/18/2019,48.16
3/19/2019,47.26
3/20/2019,46.21
3/21/2019,48.98
3/22/2019,46.93
3/25/2019,46.83
3/26/2019,47.21
3/27/2019,45.82
3/28/2019,45.99
3/29/2019,47.89
4/1/2019,48.43
4/2/2019,48.76
4/3/2019,49.6
4/4/2019,49.22
4/5/2019,49.23
4/8/2019,49.37
4/9/2019,48.91
4/10/2019,49.71
4/11/2019,49.47
4/12/2019,49.67
4/15/2019,49.39
4/16/2019,50.64
4/17/2019,50.29
4/18/2019,50.5
4/22/2019,48.94
4/23/2019,48.22
4/24/2019,46.99
4/25/2019,46.07
4/26/2019,44.99
4/29/2019,44.94
4/30/2019,48.32
5/1/2019,48.31
5/2/2019,48.39
5/3/2019,49.6
5/6/2019,49.37
5/7/2019,48.56
5/8/2019,49.04
5/9/2019,47.57
5/10/2019,47.4
5/13/2019,44.04
5/14/2019,44.64
5/15/2019,45.59
5/16/2019,45.68
5/17/2019,45.22
5/20/2019,44.72
5/21/2019,46.16
5/22/2019,44.71
5/23/2019,43.74
5/24/2019,43.19
5/28/2019,42.63
5/29/2019,43.73
5/30/2019,43.92
5/31/2019,41.85
6/3/2019,42.52
6/4/2019,44.16
6/5/2019,44.05
6/6/2019,44.4
6/7/2019,43.56
6/10/2019,43.95
6/11/2019,43.79
6/12/2019,43.64
6/13/2019,44.56
6/14/2019,44.26
6/17/2019,44.36
6/18/2019,45.53
6/19/2019,45.44
6/20/2019,46.19
6/21/2019,46.46
6/24/2019,47.32
6/25/2019,46.21
6/26/2019,47.25
6/27/2019,46.72
6/28/2019,47.12
7/1/2019,47.51
7/2/2019,47.41
7/3/2019,47.53
7/5/2019,47.25
7/8/2019,46.59
7/9/2019,46.04
7/10/2019,47.24
7/11/2019,46.66
7/12/2019,47.62
7/15/2019,48.34
7/16/2019,47.36
7/17/2019,47
7/18/2019,47.37
7/19/2019,47.3
7/22/2019,47.37
7/23/2019,47.73
7/24/2019,48.93
7/25/2019,48.08
7/26/2019,47.81
7/29/2019,47.48
7/30/2019,47.44
7/31/2019,46.31
8/1/2019,46.26
8/2/2019,44.93
8/5/2019,44.44
8/6/2019,44.68
8/7/2019,44.58
8/8/2019,45.14
